WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,6,41,2,21,77,4,186,,,,,,,,
1,9,58,5,37,173,28,495,,,,,,,,
1,11,54,11,14,69,11,185,,,,,,,,
1,35,86,5,14,44,12,354,,,,,,,,
1,32,128,14,18,77,9,150,,,,,,,,
1,4,46,3,24,102,11,229,,,,,,,,
1,14,56,1,8,70,4,72,,,,,,,,
1,4,62,2,16,61,10,166,,,,,,,,
1,39,143,15,5,27,9,240,,,,,,,,
1,25,84,2,3,63,6,160,,,,,,,,
1,40,158,0,24,122,2,176,,,,,,,,
1,9,63,1,2,42,5,368,,,,,,,,
1,23,96,1,11,91,1,172,,,,,,,,
1,8,79,21,14,177,5,188,,,,,,,,
1,9,57,13,22,108,13,304,,,,,,,,
1,12,63,7,2,25,14,278,,,,,,,,
1,13,66,1,12,89,16,141,,,,,,,,
1,21,98,17,50,183,38,491,,,,,,,,
8,34,461,2,41,137,19,264,,,,,,,,
1,19,63,17,5,32,6,75,,,,,,,,
1,21,79,1,15,104,6,178,,,,,,,,
1,9,60,1,20,114,21,367,,,,,,,,
1,5,30,9,19,66,2,84,,,,,,,,
1,10,69,6,33,126,6,238,,,,,,,,
1,6,55,2,53,187,11,450,,,,,,,,
1,7,68,5,20,151,2,169,,,,,,,,
8,1,102,5,6,52,2,96,,,,,,,,
1,33,82,17,32,102,34,481,,,,,,,,
1,13,122,0,19,81,2,97,,,,,,,,
1,20,98,15,5,55,4,94,,,,,,,,
1,16,157,1,15,81,13,204,,,,,,,,
1,20,100,10,32,90,1,47,,,,,,,,
1,2,49,6,10,65,9,283,,,,,,,,
1,5,59,1,5,74,1,64,,,,,,,,
1,30,101,1,11,87,42,532,,,,,,,,
1,30,88,5,5,24,17,227,,,,,,,,
8,2,84,2,8,52,8,146,,,,,,,,
1,15,100,24,8,37,5,88,,,,,,,,
1,23,88,10,14,95,9,99,,,,,,,,
1,23,137,5,6,68,8,98,,,,,,,,
8,24,424,5,19,126,13,185,,,,,,,,
8,11,340,6,15,223,3,65,,,,,,,,
1,4,24,2,4,27,22,162,,,,,,,,
8,8,182,5,6,42,10,165,,,,,,,,
